,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_Use_Category,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,target
0,188,0,0,0,0,0,0,0,0
1,209,0,0,0,0,0,0,1,1
2,257,0,0,0,0,0,0,1,1
3,257,0,1,0,0,0,0,1,1
4,342,0,0,0,0,0,0,1,1
5,448,1,1,0,0,0,0,1,1
6,448,1,1,0,0,0,0,1,1
7,577,0,0,0,0,0,0,0,2
8,731,1,0,0,0,0,0,1,0
9,1132,0,0,0,0,0,0,0,2
10,1212,0,0,0,0,0,0,2,0
11,1575,1,0,0,0,0,0,0,1
12,1575,1,1,0,0,0,0,1,1
13,1575,0,1,0,0,0,0,1,1
14,1575,0,1,0,0,0,0,1,2
15,1785,0,1,0,0,0,0,1,1
16,2138,1,1,0,0,0,0,0,1
17,2401,1,1,0,0,0,0,0,1
18,2401,0,1,0,0,0,0,1,1
19,2401,0,1,0,0,0,0,1,1
20,2999,1,1,0,0,0,0,2,1
21,3516,0,0,0,0,0,0,1,0
22,3895,0,1,0,0,0,0,0,1
23,4096,0,1,0,0,0,0,1,1
24,150,1,0,1,30,26,0,1,0
25,151,1,0,1,40,20,0,0,0
26,150,1,0,1,60,15,0,1,0
27,168,1,1,1,20,14,0,1,0
28,168,1,1,1,20,15,0,1,1
29,188,1,0,1,25,19,0,0,0
30,188,1,1,1,40,24,0,2,0
31,209,1,1,1,20,8,0,2,0
32,232,1,0,1,45,23,0,1,0
33,231,1,1,1,30,25,0,1,0
34,256,1,0,1,20,28,0,2,0
35,257,1,0,1,30,29,0,1,0
36,256,1,0,1,40,29,0,0,0
37,283,1,0,1,25,22,0,0,0
38,283,1,0,1,50,24,0,1,0
39,283,1,1,1,15,24,0,2,0
40,283,1,1,1,45,20,0,0,0
41,312,1,0,1,10,20,0,2,0
42,311,1,0,1,20,25,0,0,0
43,312,1,1,1,15,21,0,1,0
44,312,1,1,1,15,24,0,1,0
45,342,1,0,1,60,28,0,1,0
46,342,1,1,1,40,17,0,2,0
47,375,1,0,1,50,30,0,1,0
48,375,1,1,1,5,22,0,0,0
49,375,1,1,1,20,23,0,1,0
50,375,1,1,1,10,25,0,2,1
51,411,1,0,1,30,35,0,1,0
52,410,1,0,1,50,35,0,1,0
53,410,1,0,1,20,32,0,2,1
54,410,1,1,1,5,24,0,2,0
55,448,1,0,1,5,27,0,0,0
56,448,1,0,1,20,16,0,2,0
57,448,1,0,1,30,24,0,1,0
58,448,1,0,1,35,28,0,0,0
59,448,1,0,1,10,32,0,1,1
60,448,1,0,1,30,32,0,2,1
61,448,1,1,1,20,32,0,1,0
62,448,1,1,1,25,16,0,0,0
63,448,1,1,1,25,21,0,1,0
64,448,1,1,1,40,25,0,0,0
65,448,1,1,1,45,31,0,1,0
66,448,1,1,1,60,31,0,0,0
67,448,1,1,1,70,28,0,2,0
68,488,1,0,1,15,32,0,2,0
69,488,1,0,1,25,27,0,2,0
70,488,1,0,1,30,26,0,1,0
71,488,1,0,1,35,30,0,2,0
72,488,1,0,1,60,33,0,0,0
73,488,1,0,1,10,17,0,0,1
74,488,1,0,1,20,33,0,0,1
75,488,1,1,1,10,33,0,1,0
76,488,1,1,1,20,32,0,1,0
77,489,1,1,1,25,24,0,0,0
78,488,1,1,1,60,32,0,0,1
79,531,1,0,1,5,27,0,0,0
80,531,1,0,1,20,30,0,0,0
81,531,1,0,1,50,30,0,1,0
82,531,1,0,1,20,34,0,0,1
83,531,1,1,1,5,17,0,0,0
84,531,1,1,1,20,33,0,0,0
85,531,1,1,1,60,19,0,1,0
86,577,1,0,1,20,33,0,1,0
87,577,1,0,1,50,33,0,2,0
88,577,1,1,1,30,29,0,1,0
89,577,1,1,1,30,39,0,0,0
90,577,1,1,1,55,33,0,0,0
91,577,1,1,1,60,29,0,0,0
92,577,1,1,1,15,34,0,1,1
93,626,1,0,1,20,38,0,1,0
94,625,1,0,1,30,42,0,2,0
95,625,1,0,1,40,15,0,0,0
96,625,1,0,1,50,40,0,1,0
97,626,1,1,1,5,32,0,0,0
98,625,1,1,1,20,23,0,2,0
99,625,1,1,1,25,32,0,2,0
100,626,1,1,1,80,32,0,1,0
101,626,1,1,1,20,31,0,1,1
102,625,1,1,1,10,33,0,1,1
103,625,1,1,1,30,29,0,0,2
104,677,1,0,1,15,41,0,2,0
105,677,1,0,1,20,41,0,1,0
106,677,1,0,1,50,35,0,1,1
107,677,1,1,1,35,25,0,1,0
108,677,1,1,1,40,31,0,1,0
109,677,1,1,1,50,38,0,1,0
110,732,1,0,1,20,36,0,1,1
111,732,1,0,1,40,31,0,1,1
112,732,1,0,1,50,30,0,1,2
113,731,1,1,1,10,16,0,2,0
114,731,1,1,1,10,34,0,0,0
115,731,1,1,1,60,40,0,1,0
116,732,1,1,1,30,36,0,2,1
117,789,1,0,1,40,44,0,2,0
118,789,1,0,1,50,30,0,1,0
119,790,1,0,1,60,40,0,1,0
120,789,1,0,1,25,34,0,0,1
121,790,1,0,1,20,33,0,1,1
122,789,1,0,1,60,40,0,0,1
123,789,1,1,1,25,27,0,1,0
124,790,1,1,1,40,28,0,0,0
125,789,1,1,1,30,30,0,0,1
126,789,1,1,1,20,32,0,1,1
127,851,1,0,1,20,32,0,2,0
128,851,1,0,1,20,34,0,2,0
129,851,1,0,1,25,42,0,1,0
130,851,1,0,1,60,42,0,0,1
131,851,1,1,1,15,27,0,2,0
132,851,1,1,1,20,21,0,0,0
133,851,1,1,1,20,31,0,1,0
134,851,1,1,1,30,36,0,0,0
135,850,1,1,1,50,36,0,1,0
136,851,1,1,1,55,36,0,1,0
137,851,1,1,1,30,35,0,1,1
138,851,1,1,1,20,34,0,0,1
139,915,1,0,1,50,41,0,2,0
140,915,1,0,1,40,37,0,2,1
141,915,1,0,1,20,37,0,0,1
142,916,1,1,1,20,25,0,0,0
143,915,1,1,1,30,29,0,2,0
144,915,1,1,1,40,34,0,0,0
145,915,1,1,1,40,41,0,1,0
